GEO_ID,NAME,DP02_0124E,DP02_0059E,DP02_0061E,DP02_0064E,DP02_0065E,DP02_0068E,DP02_0066E,DP02_0062E,DP02_0067E,DP02_0060E,DP02_0063E,DP02_0001E,DP02_0017E,DP02_0016E,DP02_0004E,DP02_0010E,DP02_0015E,DP02_0006E,DP02_0002E,DP02_0081E,DP02_0087E,DP02_0082E,DP02_0084E,DP02_0086E,DP02_0085E,DP02_0083E,DP02_0080E,DP02_0059PE,DP02_0061PE,DP02_0064PE,DP02_0065PE,DP02_0068PE,DP02_0066PE,DP02_0062PE,DP02_0067PE,DP02_0060PE,DP02_0063PE,DP02_0004PE,DP02_0010PE,DP02_0015PE,DP02_0006PE,DP02_0002PE,DP02_0079PE,DP02_0081PE,DP02_0087PE,DP02_0082PE,DP02_0084PE,DP02_0086PE,DP02_0085PE,DP02_0083PE,DP02_0080PE
1400000US19001960100,Census Tract 9601; Adair County; Iowa,2813,1970,50,251,291,340,49,810,1881,39,480,1198,2.92,2.29,57,287,383,254,600,339,0,339,193,45,148,146,2438,1970,2.5,12.7,14.8,17.3,2.5,41.1,95.5,2,24.4,4.8,24,32,21.2,50.1,2777,12.2,0,12.2,6.9,1.6,5.3,5.3,87.8
1400000US19001960200,Census Tract 9602; Adair County; Iowa,1737,1225,38,223,194,250,56,445,1181,6,263,702,2.86,2.47,83,96,260,108,415,65,0,65,39,9,30,26,1654,1225,3.1,18.2,15.8,20.4,4.6,36.3,96.4,0.5,21.5,11.8,13.7,37,15.4,59.1,1719,3.8,0,3.8,2.3,0.5,1.7,1.5,96.2
1400000US19001960300,Census Tract 9603; Adair County; Iowa,2929,2090,59,253,270,415,145,919,1996,35,409,1324,3,2.15,84,355,455,341,544,259,0,259,110,28,82,149,2640,2090,2.8,12.1,12.9,19.9,6.9,44,95.5,1.7,19.6,6.3,26.8,34.4,25.8,41.1,2899,8.9,0,8.9,3.8,1,2.8,5.1,91.1
1400000US19003950100,Census Tract 9501; Adams County; Iowa,1670,1152,29,244,164,223,59,442,1116,7,207,666,2.9,2.5,25,76,249,128,437,86,10,76,36,5,31,40,1569,1152,2.5,21.2,14.2,19.4,5.1,38.4,96.9,0.6,18,3.8,11.4,37.4,19.2,65.6,1655,5.2,0.6,4.6,2.2,0.3,1.9,2.4,94.8
1400000US19003950200,Census Tract 9502; Adams County; Iowa,2010,1492,54,203,278,344,66,495,1370,68,328,857,2.99,2.22,52,249,334,190,366,214,0,214,93,27,66,121,1769,1492,3.6,13.6,18.6,23.1,4.4,33.2,91.8,4.6,22,6.1,29.1,39,22.2,42.7,1983,10.8,0,10.8,4.7,1.4,3.3,6.1,89.2
1400000US19005960100,Census Tract 9601; Allamakee County; Iowa,1977,1530,30,128,253,355,102,684,1445,55,278,930,2.48,2.08,124,201,416,173,432,107,0,107,56,56,0,51,1846,1530,2,8.4,16.5,23.2,6.7,44.7,94.4,3.6,18.2,13.3,21.6,44.7,18.6,46.5,1953,5.5,0,5.5,2.9,2.9,0,2.6,94.5
1400000US19005960200,Census Tract 9602; Allamakee County; Iowa,2314,1690,33,368,296,336,40,691,1649,8,254,1000,2.74,2.28,100,86,303,184,630,100,0,100,26,8,18,74,2185,1690,2,21.8,17.5,19.9,2.4,40.9,97.6,0.5,15,10,8.6,30.3,18.4,63,2285,4.4,0,4.4,1.1,0.4,0.8,3.2,95.6
1400000US19005960300,Census Tract 9603; Allamakee County; Iowa,4161,2872,182,336,394,588,194,1059,2612,78,629,1874,2.97,2.14,264,539,703,378,693,545,0,545,180,13,167,365,3575,2872,6.3,11.7,13.7,20.5,6.8,36.9,90.9,2.7,21.9,14.1,28.8,37.5,20.2,37,4120,13.2,0,13.2,4.4,0.3,4.1,8.9,86.8
1400000US19005960400,Census Tract 9604; Allamakee County; Iowa,2072,1659,102,263,212,267,55,737,1534,23,267,967,2.63,2.14,53,107,465,192,615,186,0,186,95,9,86,91,1836,1659,6.1,15.9,12.8,16.1,3.3,44.4,92.5,1.4,16.1,5.5,11.1,48.1,19.9,63.6,2022,9.2,0,9.2,4.7,0.4,4.3,4.5,90.8
1400000US19005960500,Census Tract 9605; Allamakee County; Iowa,3522,1978,124,189,164,249,85,862,1681,173,381,1199,3.42,2.89,92,251,319,150,706,267,53,214,123,83,40,91,3223,1978,6.3,9.6,8.3,12.6,4.3,43.6,85,8.7,19.3,7.7,20.9,26.6,12.5,58.9,3490,7.7,1.5,6.1,3.5,2.4,1.1,2.6,92.3
1400000US19007950100,Census Tract 9501; Appanoose County; Iowa,2440,1607,62,257,228,310,82,574,1515,30,374,924,3.1,2.63,84,166,342,116,558,298,0,298,179,51,128,119,2109,1607,3.9,16,14.2,19.3,5.1,35.7,94.3,1.9,23.3,9.1,18,37,12.6,60.4,2407,12.4,0,12.4,7.4,2.1,5.3,4.9,87.6
