GEO_ID,NAME,DP04_0126E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0128E,DP04_0127E,DP04_0134E,DP04_0135E,DP04_0088E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0082E,DP04_0087E,DP04_0081E,DP04_0089E,DP04_0126PE,DP04_0129PE,DP04_0130PE,DP04_0131PE,DP04_0132PE,DP04_0133PE,DP04_0128PE,DP04_0127PE,DP04_0088PE,DP04_0083PE,DP04_0084PE,DP04_0085PE,DP04_0086PE,DP04_0082PE,DP04_0087PE,DP04_0081PE
1400000US19001960100,Census Tract 9601; Adair County; Iowa,333,58,3,6,0,0,195,71,883,8,13,166,162,117,67,168,114,50,159500,333,17.4,0.9,1.8,0,0,58.6,21.3,1.5,19.4,18.9,13.7,7.8,19.6,13.3,5.8
1400000US19001960200,Census Tract 9602; Adair County; Iowa,58,2,4,8,0,0,32,12,721,96,5,122,44,90,52,142,50,43,134700,58,3.4,6.9,13.8,0,0,55.2,20.7,0.9,22.3,8,16.4,9.5,25.9,9.1,7.8
1400000US19001960300,Census Tract 9603; Adair County; Iowa,379,10,0,0,0,0,280,89,668,72,4,214,142,85,19,271,15,123,107800,379,2.6,0,0,0,0,73.9,23.5,0.5,24.5,16.3,9.7,2.2,31,1.7,14.1
1400000US19003950100,Census Tract 9501; Adams County; Iowa,42,9,0,0,0,0,30,3,856,45,7,65,91,42,133,119,37,85,163900,42,21.4,0,0,0,0,71.4,7.1,1.2,11.2,15.7,7.3,23,20.6,6.4,14.7
1400000US19003950200,Census Tract 9502; Adams County; Iowa,167,14,0,0,0,0,103,50,738,37,4,88,56,39,59,197,22,188,88600,167,8.4,0,0,0,0,61.7,29.9,0.6,13.5,8.6,6,9,30.2,3.4,28.8
1400000US19005960100,Census Tract 9601; Allamakee County; Iowa,97,3,0,0,2,0,89,3,696,72,6,134,108,126,124,205,23,35,152400,97,3.1,0,0,2.1,0,91.8,3.1,0.8,17.6,14.2,16.6,16.3,26.9,3,4.6
1400000US19005960200,Census Tract 9602; Allamakee County; Iowa,84,11,0,0,0,0,43,30,653,33,49,72,151,225,105,143,54,84,194100,84,13.1,0,0,0,0,51.2,35.7,5.5,8.2,17.1,25.5,11.9,16.2,6.1,9.5
1400000US19005960300,Census Tract 9603; Allamakee County; Iowa,443,58,19,22,0,0,227,117,740,34,0,333,228,170,63,200,108,295,123700,443,13.1,4.3,5,0,0,51.2,26.4,0,23.8,16.3,12.2,4.5,14.3,7.7,21.1
1400000US19005960400,Census Tract 9604; Allamakee County; Iowa,69,6,0,0,0,0,56,7,690,9,56,104,113,352,88,92,25,59,221000,69,8.7,0,0,0,0,81.2,10.1,6.3,11.7,12.7,39.6,9.9,10.3,2.8,6.6
1400000US19005960500,Census Tract 9605; Allamakee County; Iowa,287,65,0,0,0,0,214,8,758,64,13,186,80,178,62,191,0,138,120800,287,22.6,0,0,0,0,74.6,2.8,1.5,21.9,9.4,21,7.3,22.5,0,16.3
1400000US19007950100,Census Tract 9501; Appanoose County; Iowa,153,11,0,0,0,0,114,28,678,36,0,170,45,108,98,134,45,135,127700,153,7.2,0,0,0,0,74.5,18.3,0,23.1,6.1,14.7,13.3,18.2,6.1,18.4
1400000US19007950200,Census Tract 9502; Appanoose County; Iowa,58,10,5,0,0,0,34,9,900,51,0,80,59,87,93,131,5,132,123800,58,17.2,8.6,0,0,0,58.6,15.5,0,13.6,10.1,14.8,15.8,22.3,0.9,22.5
1400000US19007950300,Census Tract 9503; Appanoose County; Iowa,634,31,0,42,0,47,324,190,787,23,0,131,259,30,17,145,24,98,141500,634,4.9,0,6.6,0,7.4,51.1,30,0,18.6,36.8,4.3,2.4,20.6,3.4,13.9
1400000US19007950400,Census Tract 9504; Appanoose County; Iowa,423,0,0,0,0,0,393,30,722,32,0,262,42,77,20,263,10,185,92900,423,0,0,0,0,0,92.9,7.1,0,30.5,4.9,9,2.3,30.6,1.2,21.5
1400000US19007950500,Census Tract 9505; Appanoose County; Iowa,110,45,3,0,0,0,61,1,946,24,0,101,70,82,52,134,11,149,107000,110,40.9,2.7,0,0,0,55.5,0.9,0,16.9,11.7,13.7,8.7,22.4,1.8,24.9
1400000US19009070100,Census Tract 701; Audubon County; Iowa,160,15,1,0,0,0,106,38,633,16,21,62,53,104,36,125,22,94,133900,160,9.4,0.6,0,0,0,66.3,23.8,4.1,12,10.3,20.1,7,24.2,4.3,18.2
1400000US19009070200,Census Tract 702; Audubon County; Iowa,264,0,0,6,0,0,247,11,779,13,0,133,108,72,36,321,15,139,91300,264,0,0,2.3,0,0,93.6,4.2,0,16.1,13.1,8.7,4.4,39,1.8,16.9
1400000US19009070300,Census Tract 703; Audubon County; Iowa,90,16,0,0,0,0,54,20,660,11,19,141,59,66,38,191,4,122,101800,90,17.8,0,0,0,0,60,22.2,3,22,9.2,10.3,5.9,29.8,0.6,19.1
1400000US19011960100,Census Tract 9601; Benton County; Iowa,94,53,0,0,0,0,41,0,1035,35,10,67,161,327,236,58,26,46,230100,94,56.4,0,0,0,0,43.6,0,1.1,7.2,17.3,35.1,25.3,6.2,2.8,4.9
1400000US19011960200,Census Tract 9602; Benton County; Iowa,198,53,0,0,0,0,112,33,824,14,29,143,169,241,160,144,32,53,190000,198,26.8,0,0,0,0,56.6,16.7,3,14.7,17.4,24.8,16.5,14.8,3.3,5.5
1400000US19011960300,Census Tract 9603; Benton County; Iowa,451,94,0,0,0,59,255,43,923,45,0,413,441,305,130,310,45,88,154600,451,20.8,0,0,0,13.1,56.5,9.5,0,23.8,25.5,17.6,7.5,17.9,2.6,5.1
1400000US19011960400,Census Tract 9604; Benton County; Iowa,165,18,2,0,9,0,119,17,628,37,12,59,120,251,462,31,54,111,291000,165,10.9,1.2,0,5.5,0,72.1,10.3,1.1,5.4,10.9,22.8,42,2.8,4.9,10.1
1400000US19011960500,Census Tract 9605; Benton County; Iowa,229,58,15,0,0,0,90,66,724,33,3,254,414,676,505,71,19,10,235900,229,25.3,6.6,0,0,0,39.3,28.8,0.2,13,21.2,34.6,25.9,3.6,1,0.5
1400000US19011960600,Census Tract 9606; Benton County; Iowa,142,26,3,1,0,1,74,37,777,27,0,167,130,241,97,169,10,51,163200,142,18.3,2.1,0.7,0,0.7,52.1,26.1,0,19.3,15,27.9,11.2,19.5,1.2,5.9
1400000US19011960700,Census Tract 9607; Benton County; Iowa,164,30,10,0,0,0,83,41,678,9,5,409,63,61,20,259,4,99,112300,164,18.3,6.1,0,0,0,50.6,25,0.5,44.5,6.8,6.6,2.2,28.2,0.4,10.8
1400000US19013000100,Census Tract 1; Black Hawk County; Iowa,709,93,26,0,0,0,375,215,753,7,0,14,14,4,0,27,0,36,54400,709,13.1,3.7,0,0,0,52.9,30.3,0,14.7,14.7,4.2,0,28.4,0,37.9
1400000US19013000200,Census Tract 2; Black Hawk County; Iowa,795,242,0,0,0,0,488,65,743,0,0,108,3,0,0,292,0,2,78400,795,30.4,0,0,0,0,61.4,8.2,0,26.7,0.7,0,0,72.1,0,0.5
1400000US19013000300,Census Tract 3; Black Hawk County; Iowa,850,147,11,88,16,26,399,163,846,22,0,134,6,0,16,84,0,12,105600,850,17.3,1.3,10.4,1.9,3.1,46.9,19.2,0,53.2,2.4,0,6.3,33.3,0,4.8
1400000US19013000400,Census Tract 4; Black Hawk County; Iowa,305,169,5,0,0,7,112,12,1059,15,17,134,48,10,0,198,4,46,97600,305,55.4,1.6,0,0,2.3,36.7,3.9,3.7,29.3,10.5,2.2,0,43.3,0.9,10.1
1400000US19013000500,Census Tract 5; Black Hawk County; Iowa,279,94,0,0,0,0,185,0,942,0,0,15,26,4,5,240,0,15,76800,279,33.7,0,0,0,0,66.3,0,0,4.9,8.5,1.3,1.6,78.7,0,4.9
1400000US19013000700,Census Tract 7; Black Hawk County; Iowa,308,87,0,0,0,0,204,17,829,1,0,17,15,0,3,102,0,65,69700,308,28.2,0,0,0,0,66.2,5.5,0,8.4,7.4,0,1.5,50.5,0,32.2
1400000US19013000800,Census Tract 8; Black Hawk County; Iowa,420,172,0,0,0,0,248,0,950,17,0,79,91,66,32,589,52,125,73700,420,41,0,0,0,0,59,0,0,7.6,8.8,6.4,3.1,57,5,12.1
1400000US19013000900,Census Tract 9; Black Hawk County; Iowa,770,107,24,0,0,0,302,337,702,0,0,57,159,179,0,5,0,37,191500,770,13.9,3.1,0,0,0,39.2,43.8,0,13,36.4,41,0,1.1,0,8.5
1400000US19013001000,Census Tract 10; Black Hawk County; Iowa,339,86,0,0,0,0,253,0,936,19,50,677,173,9,0,258,0,12,125400,339,25.4,0,0,0,0,74.6,0,4.2,57.4,14.7,0.8,0,21.9,0,1
1400000US19013001100,Census Tract 11; Black Hawk County; Iowa,351,126,0,8,0,0,217,0,948,15,11,339,140,14,0,369,26,0,108500,351,35.9,0,2.3,0,0,61.8,0,1.2,37.7,15.6,1.6,0,41,2.9,0
1400000US19013001200,Census Tract 12; Black Hawk County; Iowa,160,75,0,0,0,0,85,0,983,22,0,445,192,57,12,71,0,5,139400,160,46.9,0,0,0,0,53.1,0,0,56.9,24.6,7.3,1.5,9.1,0,0.6
1400000US19013001301,Census Tract 13.01; Black Hawk County; Iowa,851,308,10,17,45,19,421,31,972,13,0,181,493,180,10,46,0,14,170800,851,36.2,1.2,2,5.3,2.2,49.5,3.6,0,19.6,53.4,19.5,1.1,5,0,1.5
1400000US19013001302,Census Tract 13.02; Black Hawk County; Iowa,733,209,0,0,0,0,359,165,775,0,7,117,151,451,106,79,0,5,223600,733,28.5,0,0,0,0,49,22.5,0.8,12.8,16.5,49.2,11.6,8.6,0,0.5
1400000US19013001400,Census Tract 14; Black Hawk County; Iowa,252,47,14,0,0,0,191,0,747,0,0,421,353,488,83,83,73,38,176900,252,18.7,5.6,0,0,0,75.8,0,0,27.4,22.9,31.7,5.4,5.4,4.7,2.5
1400000US19013001501,Census Tract 15.01; Black Hawk County; Iowa,851,164,7,0,0,0,632,48,751,0,0,141,268,260,58,24,53,47,190400,851,19.3,0.8,0,0,0,74.3,5.6,0,16.6,31.5,30.6,6.8,2.8,6.2,5.5
1400000US19013001502,Census Tract 15.02; Black Hawk County; Iowa,639,238,0,0,0,0,388,13,882,0,0,529,569,37,27,115,0,64,147700,639,37.2,0,0,0,0,60.7,2,0,39.4,42.4,2.8,2,8.6,0,4.8
1400000US19013001503,Census Tract 15.03; Black Hawk County; Iowa,255,120,9,0,0,0,126,0,1004,21,0,312,520,282,53,85,7,32,172100,255,47.1,3.5,0,0,0,49.4,0,0,24.2,40.3,21.8,4.1,6.6,0.5,2.5
1400000US19013001600,Census Tract 16; Black Hawk County; Iowa,240,68,41,0,0,0,131,0,956,138,0,221,102,9,0,282,6,115,96700,240,28.3,17.1,0,0,0,54.6,0,0,30.1,13.9,1.2,0,38.4,0.8,15.6
1400000US19013001701,Census Tract 17.01; Black Hawk County; Iowa,450,129,0,0,0,0,288,33,920,0,0,21,9,11,10,263,0,69,57900,450,28.7,0,0,0,0,64,7.3,0,5.5,2.3,2.9,2.6,68.7,0,18
1400000US19013001702,Census Tract 17.02; Black Hawk County; Iowa,288,89,0,0,0,0,184,15,894,0,0,128,64,102,0,195,10,81,103800,288,30.9,0,0,0,0,63.9,5.2,0,22.1,11,17.6,0,33.6,1.7,14
1400000US19013001800,Census Tract 18; Black Hawk County; Iowa,322,62,173,0,0,0,79,8,1535,29,38,115,0,3,0,161,0,70,87700,322,19.3,53.7,0,0,0,24.5,2.5,9.8,29.7,0,0.8,0,41.6,0,18.1
1400000US19013001900,Census Tract 19; Black Hawk County; Iowa,219,43,6,0,0,0,163,7,829,18,0,129,36,53,1,200,5,86,90900,219,19.6,2.7,0,0,0,74.4,3.2,0,25.3,7.1,10.4,0.2,39.2,1,16.9
