GEO_ID,NAME,DP05_0089E,DP05_0091E,DP05_0090E,DP05_0073E,DP05_0078E,DP05_0081E,DP05_0082E,DP05_0080E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0087E,DP05_0086E,DP05_0079E,DP05_0001E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0006E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0003E,DP05_0002E,DP05_0018E,DP05_0005E,DP05_0089PE,DP05_0091PE,DP05_0090PE,DP05_0073PE,DP05_0078PE,DP05_0081PE,DP05_0082PE,DP05_0080PE,DP05_0083PE,DP05_0084PE,DP05_0085PE,DP05_0087PE,DP05_0086PE,DP05_0079PE,DP05_0001PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0006PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0003PE,DP05_0002PE,DP05_0005PE
1400000US19001960100,Census Tract 9601; Adair County; Iowa,2181,1052,1129,162,2651,0,0,0,0,0,31,21,10,2620,2813,81,139,176,325,310,374,173,190,187,286,182,116,1383,1430,43.2,274,2181,48.2,51.8,5.8,94.2,0,0,0,0,0,1.1,0.7,0.4,93.1,2813,2.9,4.9,6.3,11.6,11,13.3,6.2,6.8,6.6,10.2,6.5,49.2,50.8,9.7
1400000US19001960200,Census Tract 9602; Adair County; Iowa,1359,638,721,24,1713,0,0,0,12,26,13,13,0,1662,1737,164,109,97,146,221,130,57,131,208,248,114,27,838,899,44.3,85,1359,46.9,53.1,1.4,98.6,0,0,0,0.7,1.5,0.7,0.7,0,95.7,1737,9.4,6.3,5.6,8.4,12.7,7.5,3.3,7.5,12,14.3,6.6,48.2,51.8,4.9
1400000US19001960300,Census Tract 9603; Adair County; Iowa,2260,1165,1095,10,2919,0,9,48,0,23,75,73,2,2764,2929,241,206,108,367,304,320,187,170,243,329,207,150,1442,1487,42.4,97,2260,51.5,48.5,0.3,99.7,0,0.3,1.6,0,0.8,2.6,2.5,0.1,94.4,2929,8.2,7,3.7,12.5,10.4,10.9,6.4,5.8,8.3,11.2,7.1,49.2,50.8,3.3
1400000US19003950100,Census Tract 9501; Adams County; Iowa,1284,608,676,39,1631,0,0,1,0,1,45,26,19,1584,1670,99,89,113,159,152,149,86,193,162,172,129,36,791,879,46.7,131,1284,47.4,52.6,2.3,97.7,0,0,0.1,0,0.1,2.7,1.6,1.1,94.9,1670,5.9,5.3,6.8,9.5,9.1,8.9,5.1,11.6,9.7,10.3,7.7,47.4,52.6,7.8
1400000US19003950200,Census Tract 9502; Adams County; Iowa,1609,815,794,33,1977,16,0,10,0,0,65,55,10,1886,2010,127,101,87,213,250,247,137,130,143,285,145,79,1039,971,46.1,66,1609,50.7,49.3,1.6,98.4,0.8,0,0.5,0,0,3.2,2.7,0.5,93.8,2010,6.3,5,4.3,10.6,12.4,12.3,6.8,6.5,7.1,14.2,7.2,51.7,48.3,3.3
1400000US19005960100,Census Tract 9601; Allamakee County; Iowa,1622,798,824,16,1961,12,0,15,0,0,0,0,0,1934,1977,65,148,36,165,205,277,57,96,161,350,155,121,1041,936,50.8,141,1622,49.2,50.8,0.8,99.2,0.6,0,0.8,0,0,0,0,0,97.8,1977,3.3,7.5,1.8,8.3,10.4,14,2.9,4.9,8.1,17.7,7.8,52.7,47.3,7.1
1400000US19005960200,Census Tract 9602; Allamakee County; Iowa,1908,872,1036,4,2310,0,0,6,0,0,44,27,17,2260,2314,128,90,173,159,201,355,111,369,124,249,122,111,1007,1307,49.8,122,1908,45.7,54.3,0.2,99.8,0,0,0.3,0,0,1.9,1.2,0.7,97.7,2314,5.5,3.9,7.5,6.9,8.7,15.3,4.8,15.9,5.4,10.8,5.3,43.5,56.5,5.3
1400000US19005960300,Census Tract 9603; Allamakee County; Iowa,3172,1683,1489,86,4075,24,26,1,0,0,52,21,31,3972,4161,373,185,230,563,459,366,292,266,239,540,257,182,2132,2029,38.7,209,3172,53.1,46.9,2.1,97.9,0.6,0.6,0,0,0,1.2,0.5,0.7,95.5,4161,9,4.4,5.5,13.5,11,8.8,7,6.4,5.7,13,6.2,51.2,48.8,5
1400000US19005960400,Census Tract 9604; Allamakee County; Iowa,1692,779,913,5,2067,0,0,0,0,0,6,2,4,2061,2072,42,117,28,190,210,200,45,220,222,498,107,12,986,1086,56.4,181,1692,46,54,0.2,99.8,0,0,0,0,0,0.3,0.1,0.2,99.5,2072,2,5.6,1.4,9.2,10.1,9.7,2.2,10.6,10.7,24,5.2,47.6,52.4,8.7
1400000US19005960500,Census Tract 9605; Allamakee County; Iowa,1938,985,953,936,2586,0,58,219,0,0,27,23,4,2282,3522,383,229,268,371,430,309,357,193,189,194,242,50,1792,1730,30.6,307,1938,50.8,49.2,26.6,73.4,0,1.6,6.2,0,0,0.8,0.7,0.1,64.8,3522,10.9,6.5,7.6,10.5,12.2,8.8,10.1,5.5,5.4,5.5,6.9,50.9,49.1,8.7
1400000US19007950100,Census Tract 9501; Appanoose County; Iowa,1827,954,873,0,2440,0,28,0,0,0,68,66,2,2344,2440,159,201,173,226,271,281,161,102,210,262,157,98,1209,1231,39.4,139,1827,52.2,47.8,0,100,0,1.1,0,0,0,2.8,2.7,0.1,96.1,2440,6.5,8.2,7.1,9.3,11.1,11.5,6.6,4.2,8.6,10.7,6.4,49.5,50.5,5.7
